measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Life expectancy,Ireland,Both,At birth,,,Years,2013,81.1,,
Life expectancy,Ireland,Both,At birth,,,Years,2014,81.4,,
Life expectancy,Ireland,Both,At birth,,,Years,2015,81.5,,
Life expectancy,Ireland,Both,At birth,,,Years,2016,81.7,,
Life expectancy,Ireland,Both,At birth,,,Years,2017,82,,
Life expectancy,Ireland,Both,At birth,,,Years,2018,82.2,,
Life expectancy,Ireland,Both,At birth,,,Years,2019,82.4,,
Life expectancy,Ireland,Both,At birth,,,Years,2020,82.2,,
Life expectancy,Ireland,Both,At birth,,,Years,2021,82.3,,
Life expectancy,Ireland,Both,At birth,,,Years,2022,82.2,,
Life expectancy,Ireland,Both,At birth,,,Years,2023,82.5,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2013,69.8,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2014,70,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2015,70.1,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2016,70.2,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2017,70.4,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2018,70.6,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2019,70.7,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2020,70.3,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2021,70.3,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2022,70.1,,
HALE (Healthy life expectancy),Ireland,Both,At birth,,,Years,2023,70.3,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,1990,0.3433,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,2000,0.3166,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,2010,0.2597,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,2013,0.2348,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,2018,0.2052,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,2021,0.1966,,
Summary exposure value,Ireland,Both,Age-standardized,,Tobacco,Percent,2023,0.1957,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,1990,0.1601,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,2000,0.2218,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,2010,0.205,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,2013,0.197,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,2018,0.1869,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,2021,0.1783,,
Summary exposure value,Ireland,Both,Age-standardized,,High alcohol use,Percent,2023,0.1735,,
Summary exposure value,Ireland,Both,Age-standardized,,High body-mass index,Percent,2013,0.2749,,
Summary exposure value,Ireland,Both,Age-standardized,,High body-mass index,Percent,2018,0.2886,,
Summary exposure value,Ireland,Both,Age-standardized,,High body-mass index,Percent,2023,0.3053,,
Summary exposure value,Ireland,Both,Age-standardized,,Air pollution,Percent,1990,0.1653,,
Summary exposure value,Ireland,Both,Age-standardized,,Air pollution,Percent,2000,0.1494,,
Summary exposure value,Ireland,Both,Age-standardized,,Air pollution,Percent,2010,0.1065,,
